accuracy,val_accuracy,loss,val_loss
0.5271222591400146,0.6965726017951965,1.3643603710008556,0.9845346058568647
0.7615566849708557,0.84375,0.7724713375221648,0.5150323909136557
0.836068332195282,0.8765121102333069,0.5248954680917102,0.39984307702510585
0.8644291162490845,0.8865927457809448,0.42733364115397365,0.3604277985230569
0.8800655007362366,0.9122983813285828,0.37428915804196433,0.27851630585087883
0.8905959129333496,0.90625,0.3413457854217834,0.2654604702106407
0.8967837691307068,0.9228830933570862,0.32040676354161457,0.2520005464433662
0.9034619331359863,0.9178427457809448,0.3035356154484405,0.23290269665660396
0.9085881114006042,0.9233871102333069,0.2899993183143261,0.2702640829187247
0.9137042164802551,0.9364919066429138,0.27855522120929666,0.21897688628204406
