acc,val_acc,loss,val_loss
0.35642239451408386,0.37667787075042725,1.1920930376163597e-07,1.1920930376163597e-07
0.3579506278038025,0.3786669373512268,1.1920930376163597e-07,1.1920930376163597e-07
0.35675331950187683,0.36275437474250793,1.1920930376163597e-07,1.1920930376163597e-07
0.35524603724479675,0.31004416942596436,1.1920930376163597e-07,1.1920930376163597e-07
0.35613134503364563,0.46320226788520813,1.1920930376163597e-07,1.1920930376163597e-07
0.3577578365802765,0.3538036048412323,1.1920930376163597e-07,1.1920930376163597e-07
0.35651689767837524,0.3736942708492279,1.1920930376163597e-07,1.1920930376163597e-07
0.35704609751701355,0.2981097400188446,1.1920930376163597e-07,1.1920930376163597e-07
0.35768938064575195,0.36076533794403076,1.1920930376163597e-07,1.1920930376163597e-07
0.3569081127643585,0.4453006684780121,1.1920930376163597e-07,1.1920930376163597e-07
